ExperimentNumber,ExperimentParticipantNumber,AgeMonths,Gender,Toy A (Infant's Choice on Preference Induction Trial),Toy B,Toy C,Infant's Choice at Test,Infant Chose C
1,1,11.10,F,Black rectangle,Orange arch,Green cube,Option C,1
1,2,19.38,M,Green cube,Orange arch,Black rectangle,Option C,1
1,3,10.87,M,Black rectangle,Green cube,Orange arch,Option C,1
1,4,17.02,F,Orange arch,Black rectangle,Green cube,Option B,0
1,5,11.66,F,Orange arch,Green cube,Black rectangle,Option B,0
1,6,11.56,F,Green cube,Orange arch,Black rectangle,Option C,1
1,7,10.41,M,Black rectangle,Green cube,Orange arch,Option C,1
1,8,11.37,F,Green cube,Black rectangle,Orange arch,Option C,1
1,9,20.01,M,Black rectangle,Green cube,Orange arch,Option C,1
1,10,19.35,M,Green cube,Orange arch,Black rectangle,Option B,0
1,11,12.22,M,Black rectangle,Orange arch,Green cube,Option B,0
1,12,10.58,F,Orange arch,Green cube,Black rectangle,Option C,1
1,13,19.25,M,Black rectangle,Orange arch,Green cube,Option C,1
1,14,16.03,M,Green cube,Orange arch,Black rectangle,Option C,1
1,15,11.20,M,Orange arch,Black rectangle,Green cube,Option C,1
1,16,16.66,M,Orange arch,Green cube,Black rectangle,Option C,1
1,17,11.66,F,Orange arch,Green cube,Black rectangle,Option C,1
1,18,14.59,F,Orange arch,Black rectangle,Green cube,Option B,0
1,19,19.55,F,Green cube,Black rectangle,Orange arch,Option C,1
1,20,11.93,F,Green cube,Black rectangle,Orange arch,Option C,1
1,21,14.95,F,Black rectangle,Green cube,Orange arch,Option C,1
1b,1,13.63,M,Green cube,Black Rectangle,Orange Arch,Option C,1
1b,2,13.83,F,Green cube,Orange Arch,Black Rectangle,Option B,0
1b,3,14.03,F,Black Rectangle,Green cube,Orange Arch,Option B,0
1b,4,13.37,M,Green cube,Orange Arch,Black Rectangle,Option B,0
1b,5,19.81,F,Black Rectangle,Orange Arch,Green cube,Option C,1
1b,6,13.08,F,Black Rectangle,Green cube,Orange Arch,Option C,1
1b,7,12.65,M,Black Rectangle,Orange Arch,Green cube,Option C,1
1b,8,13.67,F,Green cube,Black Rectangle,Orange Arch,Option C,1
1b,9,12.65,M,Orange Arch,Black Rectangle,Green cube,Option C,1
1b,10,13.01,F,Green cube,Orange Arch,Black Rectangle,Option B,0
1b,11,12.81,F,Green cube,Orange Arch,Black Rectangle,Option B,0
1b,12,17.84,F,Orange Arch,Black Rectangle,Green cube,Option C,1
1b,13,13.80,M,Black Rectangle,Green cube,Orange Arch,Option C,1
1b,14,13.80,M,Orange Arch,Green cube,Black Rectangle,Option B,0
1b,15,19.88,M,Orange Arch,Black Rectangle,Green cube,Option C,1
1b,16,12.81,M,Black Rectangle,Orange Arch,Green cube,Option C,1
1b,17,17.87,M,Orange Arch,Green cube,Black Rectangle,Option C,1
1b,18,13.04,M,Green cube,Black Rectangle,Orange Arch,Option C,1
1b,19,19.81,F,Orange Arch,Green cube,Black Rectangle,Option C,1
